Resource,Local PDF filename,Google Drive source
"Buyers Guide — Version 1","buyers-guide-version-1.pdf","https://drive.google.com/file/d/1zdIYSU2F79WhXbkRr-cQUhr1ZFJnDcDU/view?usp=sharing"
"Buyers Guide — Version 2","buyers-guide-version-2.pdf","https://drive.google.com/file/d/1aWjPfY6_KDKMBYCDtz99GscFn7C0aVHD/view?usp=drive_link"
"Listing Presentation — Version 1","listing-presentation-version-1.pdf","https://drive.google.com/file/d/1Ccj7w__LksTiUxRJRwrkdEpaOvcMAPJM/view?usp=drive_link"
"Listing Presentation — Version 2","listing-presentation-version-2.pdf","https://drive.google.com/file/d/1pznWuxPgLkEyHuAgPpq4WNIgTYcrXxtE/view?usp=drive_link"
"Sellers Guide — Version 1","sellers-guide-version-1.pdf","https://drive.google.com/file/d/1FQKxuxBMTSy-gixd6vXSE3qtN-SFSvik/view?usp=drive_link"
"Sellers Guide — Version 2","sellers-guide-version-2.pdf","https://drive.google.com/file/d/1oPkFlHCz8QhgfF_WJUi1DicmOM_uQe0e/view?usp=drive_link"
"Google My Business Best Practices for Realtors","google-my-business-best-practices-for-realtors.pdf","https://drive.google.com/file/d/1xSBT8Dw4vnWhUo6LsOn7vdcwyvJnLGEZ/view?usp=drive_link"
"Marketing Department Best Practices 2026","marketing-department-best-practices-2026.pdf","https://drive.google.com/file/d/1iPSHXtGkTgJisFlpWETeQ4orlL4EFnbo/view?usp=drive_link"
"How To Sign the Contract","how-to-sign-the-contract.pdf","https://drive.google.com/file/d/1K_uk05aRrcyyssf9ILkGX_IeQO_8Ir3R/view?usp=drive_link"
"Hierarchy Rules from Top to Bottom","hierarchy-rules-from-top-to-bottom.pdf","https://drive.google.com/file/d/1-LNrW-0OCS2rlZjQ_nQt5ltLntR9_chD/view?usp=drive_link"
"Contracts Best Practices","contracts-best-practices.pdf","https://drive.google.com/file/d/1-HyvtDK3cHCgD4mvj69JYTk-A0YRLPyh/view?usp=drive_link"
"How to Sign the Contract","how-to-sign-the-contract-2.pdf","https://drive.google.com/file/d/1qq7_AdJ31CYAorXuCJ_04un4PmcSZikG/view?usp=drive_link"
